"coefficient","value"
"a",1.02278783469124
"b",0.0039854694662762
"logsize_t032",-0.0834572664080683
"logsize_t033",-0.118998823894801
"logsize_t034",-0.077615836660631
"logsize_t035",-0.1097685775858
"logsize_t036",0.0274380548932248
"logsize_t037",-0.0725828870201592
"logsize_t038",0.132932342317315
"logsize_t039",-0.0325108266907826
"logsize_t040",-0.0935078402853921
"logsize_t041",-0.0909247527021611
"logsize_t042",-0.11326932894021
"logsize_t043",-0.0518566418928752
"logsize_t044",-0.139193367879357
"logsize_t045",-0.101042852583579
"logsize_t046",-0.0719711717670415
"logsize_t047",-0.0963939394822879
"logsize_t048",-0.0513919584705276
"logsize_t049",0.0621427820593686
"logsize_t050",0.0186402974375294
"logsize_t051",-0.0231949962836256
"logsize_t052",-0.00477829949128139
"logsize_t053",0.061620838391712
"logsize_t054",0.0522229883161202
"logsize_t055",-0.12667433161202
"logsize_t056",-0.0719133390291792
"logsize_t057",0.00299655946086044
"logsize_t058",-0.158687137384824
"logsize_t059",-0.156790512143761
"logsize_t060",-0.0354992713127978
"logsize_t061",-0.0907708854434479
"logsize_t062",-0.146251869559494
"logsize_t063",-0.165811988679258
"logsize_t064",-0.039882273118192
"logsize_t065",-0.155420902214566
"logsize_t066",-0.195746089728568
"logsize_t067",-0.0400299214692435
"logsize_t068",-0.196527077324171
"logsize_t069",-0.147233181831107
"logsize_t070",-0.068721149927316
"logsize_t071",-0.200384976473624
"logsize_t0_232",0.0884823779428271
"logsize_t0_233",0.0884823779428271
"logsize_t0_234",0.0884823779428271
"logsize_t0_235",0.0884823779428271
"logsize_t0_236",0.0884823779428271
"logsize_t0_237",0.0884823779428271
"logsize_t0_238",0.0884823779428271
"logsize_t0_239",0.0884823779428271
"logsize_t0_240",0.0884823779428271
"logsize_t0_241",0.0884823779428271
"logsize_t0_242",0.0884823779428271
"logsize_t0_243",0.0884823779428271
"logsize_t0_244",0.0884823779428271
"logsize_t0_245",0.0884823779428271
"logsize_t0_246",0.0884823779428271
"logsize_t0_247",0.0884823779428271
"logsize_t0_248",0.0884823779428271
"logsize_t0_249",0.0884823779428271
"logsize_t0_250",0.0884823779428271
"logsize_t0_251",0.0884823779428271
"logsize_t0_252",0.0884823779428271
"logsize_t0_253",0.0884823779428271
"logsize_t0_254",0.0884823779428271
"logsize_t0_255",0.0884823779428271
"logsize_t0_256",0.0884823779428271
"logsize_t0_257",0.0884823779428271
"logsize_t0_258",0.0884823779428271
"logsize_t0_259",0.0884823779428271
"logsize_t0_260",0.0884823779428271
"logsize_t0_261",0.0884823779428271
"logsize_t0_262",0.0884823779428271
"logsize_t0_263",0.0884823779428271
"logsize_t0_264",0.0884823779428271
"logsize_t0_265",0.0884823779428271
"logsize_t0_266",0.0884823779428271
"logsize_t0_267",0.0884823779428271
"logsize_t0_268",0.0884823779428271
"logsize_t0_269",0.0884823779428271
"logsize_t0_270",0.0884823779428271
"logsize_t0_271",0.0884823779428271
"year_32",2.87140321222009
"year_33",2.73608584559813
"year_34",2.48892723671072
"year_35",2.46256254408706
"year_36",1.94326106577825
"year_37",2.32446738805097
"year_38",1.12586669334916
"year_39",2.15130653975593
"year_40",2.82674769655204
"year_41",2.95799837262403
"year_42",2.81855661043403
"year_43",2.65345004589935
"year_44",3.25571054299112
"year_45",2.92677530164673
"year_46",2.91758107101484
"year_47",2.98186701666139
"year_48",2.11870809366244
"year_49",2.32966643838926
"year_50",2.21462402027904
"year_51",2.77815776417129
"year_52",2.37190836400695
"year_53",2.2282360689597
"year_54",2.1700860560337
"year_55",2.83573427416303
"year_56",3.18479255275612
"year_57",2.08537522761571
"year_58",3.43258914565507
"year_59",3.34952396969441
"year_60",3.00803510512201
"year_61",2.41814270119336
"year_62",3.12210535678706
"year_63",3.53654129035555
"year_64",2.8117740663031
"year_65",2.86733650955007
"year_66",3.82212761245974
"year_67",3.07265334556301
"year_68",4.00219737398487
"year_69",2.89643976065168
"year_70",2.62954106091888
"year_71",3.80308628671356
