"","Quad","Year","trackID","basalArea_genet","logsize_t0","logsize_t1","survives_tplus1","size_tplus1"
"2","e1q1-1",70,"BOUCUR_70_1",88.861894465524,4.48708341694654,4.11201696105534,1,61.0697687784431
"5","e1q1-3",58,"BOUCUR_58_1",119.726852414143,4.78521291835072,5.6270513785832,1,277.841658750701
"6","e1q1-3",59,"BOUCUR_58_1",277.841658750701,5.6270513785832,6.30687372991159,1,548.328044892325
"7","e1q1-3",60,"BOUCUR_58_1",548.328044892325,6.30687372991159,6.91845773064377,1,1010.75992775947
"8","e1q1-3",61,"BOUCUR_58_1",1010.75992775947,6.91845773064377,6.86219555572653,1,955.462537534565
"9","e1q1-3",62,"BOUCUR_58_1",955.462537534565,6.86219555572653,6.99660312803139,1,1092.91435571695
"10","e1q1-3",63,"BOUCUR_58_1",1092.91435571695,6.99660312803139,6.94308662672322,1,1035.96291590806
"11","e1q1-3",64,"BOUCUR_58_1",1035.96291590806,6.94308662672322,-0.330883860122313,1,0.718288586144989
"12","e1q1-3",65,"BOUCUR_58_1",0.718288586144989,-0.330883860122313,6.3675001027848,1,582.599567862123
"13","e1q1-3",66,"BOUCUR_58_1",582.599567862123,6.3675001027848,5.37501607654326,1,215.943343905218
"14","e1q1-3",67,"BOUCUR_58_1",215.943343905218,5.37501607654326,3.73409446474737,1,41.8501116480765
"15","e1q1-3",68,"BOUCUR_58_1",41.8501116480765,3.73409446474737,5.74049201437395,1,311.217496799944
"17","e1q1-3",61,"BOUCUR_61_1",98.5669802797231,4.5907363199207,3.64522805508686,1,38.2915044282481
"18","e1q1-3",62,"BOUCUR_61_1",38.2915044282481,3.64522805508686,5.59477637767488,1,269.017485049889
"19","e1q1-3",63,"BOUCUR_61_1",269.017485049889,5.59477637767488,6.39575266826169,1,599.294223253814
"20","e1q1-3",64,"BOUCUR_61_1",599.294223253814,6.39575266826169,6.17771501817334,1,481.889588435059
"21","e1q1-3",65,"BOUCUR_61_1",481.889588435059,6.17771501817334,6.68378368453851,1,799.337839682951
"22","e1q1-3",66,"BOUCUR_61_1",799.337839682951,6.68378368453851,4.60057397533526,1,99.5414335759317
"23","e1q1-3",67,"BOUCUR_61_1",99.5414335759317,4.60057397533526,6.79849112126252,1,896.493570519897
"24","e1q1-3",68,"BOUCUR_61_1",896.493570519897,6.79849112126252,6.89842437700466,1,990.712495803339
"25","e1q1-3",69,"BOUCUR_61_1",990.712495803339,6.89842437700466,8.95699058388747,1,7761.96330102955
"26","e1q1-3",70,"BOUCUR_61_1",7761.96330102955,8.95699058388747,7.15973146810222,1,1286.56540266582
"27","e1q1-3",71,"BOUCUR_61_1",1286.56540266582,7.15973146810222,7.04460197507083,1,1146.65234875537
"30","e1q1-3",64,"BOUCUR_64_1",39.2338701258115,3.66954040755579,3.90341345826308,1,49.5713704425946
"31","e1q1-3",65,"BOUCUR_64_1",49.5713704425946,3.90341345826308,4.19603996805759,1,66.4227732329731
"32","e1q1-3",66,"BOUCUR_64_1",66.4227732329731,4.19603996805759,4.76652716719373,1,117.510438412752
"33","e1q1-3",67,"BOUCUR_64_1",117.510438412752,4.76652716719373,5.47378772381228,1,238.361331943551
"34","e1q1-3",68,"BOUCUR_64_1",238.361331943551,5.47378772381228,5.71429372291832,1,303.17000565002
"35","e1q1-3",69,"BOUCUR_64_1",303.17000565002,5.71429372291832,4.61271866802834,1,100.757704365118
"38","e1q1-3",64,"BOUCUR_64_3",56.8728765152111,4.04081854057782,6.1032535466648,1,447.310751533103
"39","e1q1-3",65,"BOUCUR_64_3",447.310751533103,6.1032535466648,6.09447342488899,1,443.400500025468
"40","e1q1-3",66,"BOUCUR_64_3",443.400500025468,6.09447342488899,5.13930560092065,1,170.597264598169
"41","e1q1-3",67,"BOUCUR_64_3",170.597264598169,5.13930560092065,4.04835363416438,1,57.303037578934
"42","e1q1-3",68,"BOUCUR_64_3",57.303037578934,4.04835363416438,6.09404933823459,1,443.212499657895
"44","e1q1-3",66,"BOUCUR_66_1",1934.87578058915,7.56779840732527,5.98597809895019,1,397.811429964764
"45","e1q1-3",67,"BOUCUR_66_1",397.811429964764,5.98597809895019,5.78382770476205,1,325.000819791537
"46","e1q1-3",68,"BOUCUR_66_1",325.000819791537,5.78382770476205,3.76178145644957,1,43.0250049199936
"54","e1q2-1",66,"BOUCUR_66_1",31.7461655418744,3.45777194771071,4.84457774706401,1,127.049623589248
"55","e1q2-1",68,"BOUCUR_66_1",127.049623589248,4.84457774706401,4.23076268082155,1,68.7696614798073
"56","e1q2-1",70,"BOUCUR_66_1",68.7696614798073,4.23076268082155,1.03996361954887,1,2.8291140880325
"59","e1q2-1",70,"BOUCUR_70_2",73.1643355099209,4.2927080824273,4.26665072815271,1,71.2824909224204
"62","e1q2-1",70,"BOUCUR_70_4",15.7001035569051,2.75366730831373,4.81076410475485,1,122.825433167708
