"coefficient","value"
"a",1.34441456593681
"b",-0.0787875512693002
"logsize_t034",-0.0805259810137642
"logsize_t035",-0.0458888042657934
"logsize_t036",0.14372571378306
"logsize_t037",0.122310491395967
"logsize_t038",0.199659835786851
"logsize_t039",-0.0989902368842277
"logsize_t040",0.0871488436751285
"logsize_t041",0.156639113724002
"logsize_t042",0.0785895405796316
"logsize_t043",0.0460928772136481
"logsize_t044",0.0190626914663764
"logsize_t045",0.0645607188157447
"logsize_t046",-0.0639423437037538
"logsize_t047",0.0613844294972158
"logsize_t048",-0.0622658308996324
"logsize_t049",0.108138574109595
"logsize_t050",0.183520093461886
"logsize_t051",-0.06641511454062
"logsize_t052",0.0534911202246482
"logsize_t053",0.0613395276372735
"logsize_t054",0.0834725372334084
"logsize_t055",-0.121121505629544
"logsize_t056",-0.00222188746935665
"logsize_t057",0.0985814963735273
"logsize_t058",-0.0196674938573078
"logsize_t059",-0.0315333927722371
"logsize_t060",-0.0673020778424701
"logsize_t061",0.0275565345923835
"logsize_t062",-0.0389037613749939
"logsize_t063",0.264481453045941
"logsize_t064",-0.0205201697425964
"logsize_t065",0.0240109777822659
"logsize_t066",-0.0966145495426912
"logsize_t067",0.233310314013063
"logsize_t068",0.142503005320148
"logsize_t069",0.0705458716707715
"logsize_t070",0.0969548170270083
"logsize_t071",0.143961791014602
"logsize_t0_234",0.0821896898097627
"logsize_t0_235",0.0821896898097627
"logsize_t0_236",0.0821896898097627
"logsize_t0_237",0.0821896898097627
"logsize_t0_238",0.0821896898097627
"logsize_t0_239",0.0821896898097627
"logsize_t0_240",0.0821896898097627
"logsize_t0_241",0.0821896898097627
"logsize_t0_242",0.0821896898097627
"logsize_t0_243",0.0821896898097627
"logsize_t0_244",0.0821896898097627
"logsize_t0_245",0.0821896898097627
"logsize_t0_246",0.0821896898097627
"logsize_t0_247",0.0821896898097627
"logsize_t0_248",0.0821896898097627
"logsize_t0_249",0.0821896898097627
"logsize_t0_250",0.0821896898097627
"logsize_t0_251",0.0821896898097627
"logsize_t0_252",0.0821896898097627
"logsize_t0_253",0.0821896898097627
"logsize_t0_254",0.0821896898097627
"logsize_t0_255",0.0821896898097627
"logsize_t0_256",0.0821896898097627
"logsize_t0_257",0.0821896898097627
"logsize_t0_258",0.0821896898097627
"logsize_t0_259",0.0821896898097627
"logsize_t0_260",0.0821896898097627
"logsize_t0_261",0.0821896898097627
"logsize_t0_262",0.0821896898097627
"logsize_t0_263",0.0821896898097627
"logsize_t0_264",0.0821896898097627
"logsize_t0_265",0.0821896898097627
"logsize_t0_266",0.0821896898097627
"logsize_t0_267",0.0821896898097627
"logsize_t0_268",0.0821896898097627
"logsize_t0_269",0.0821896898097627
"logsize_t0_270",0.0821896898097627
"logsize_t0_271",0.0821896898097627
"year34",2.60282522248281
"year35",2.53197137506248
"year36",2.33875665421413
"year37",2.39792964579606
"year38",1.69110593443328
"year39",2.16486796512385
"year40",2.98849921269793
"year41",2.26043650049498
"year42",2.31498317686252
"year43",2.3737078610078
"year44",2.39061057806029
"year45",2.23480929639072
"year46",2.47185819526637
"year47",2.34028825270871
"year48",1.90754759083801
"year49",2.00301046840692
"year50",1.68169296071207
"year51",2.53191602528884
"year52",2.31439240996247
"year53",2.27719759663327
"year54",1.97472124784307
"year55",2.47707884327024
"year56",2.45913714023208
"year57",2.03294291522805
"year58",2.67572050109905
"year59",2.75558838162022
"year60",2.76584018498045
"year61",2.12618695243152
"year62",2.43486692068287
"year63",1.62421113954133
"year64",2.86609734400291
"year65",1.76197564913006
"year66",2.84768904943915
"year67",1.73864649820375
"year68",2.21424304593186
"year69",1.98919825683762
"year70",1.62817653551929
"year71",1.4032691044367
